"location","ISO3","RLI_2020_weighted","species_richness","catch","catch_cv","effort","cpue","coastpop_2020","latitude","PrimaryProduction","area_km2","SST","subsidy_good","subsidy_bad","GDP_2019","WGI_2018","HDI_2021","finsHK_2010"
"Alaska","USA",0.997778381973057,9,27154.78,0.686299310752586,NA,8.60059920266558e-05,469971.62,56.8027366483917,138.329661805771,3682912,5.13994048234663,2.0492717003797,0.295414439666638,2.14277e+13,1.24137473106384,0.921,253.303
"Albania","ALB",0.51843807231744,33,18.79,1.204142247453,7443256.77524462,8.42904548860804e-05,2695388.311,40.9214035348808,164.214537592151,12165,18.3203817552721,0.0598351773525371,0.128204984653033,15278077447,0.0118096731603146,0.796,NA
"Algeria","DZA",0.5219868643654,38,19304.21,0.484985042266155,48793350.1903127,0.000121254597552792,30034156.85,37.1934830121333,-195.537878787879,131193,20.2651515151515,0.00408633762440771,0.00436549150281928,1.69988e+11,-0.815703163544337,0.745,NA
"Alhucemas Islands","ESP",0.545912478921225,9,18237.71,0.539891881118773,NA,0.00014763844289803,2.46716699,35.2342164893646,-146,14,19.3636363636364,0.109788468039095,1.04800056812554,1.39412e+12,0.808154255151749,0.905,2033.469
"American Samoa","USA",0.600567859430367,11,6.8,0.60968819264157,8199670.00581,5.10642298118171e-05,48051.87345,-13.8309101935428,-290.74064171123,405830,29.4679144385027,0.0500916327330992,0.011002391364296,2.14277e+13,1.24137473106384,0.921,253.303
"Andaman and Nicobar","IND",0.530237795232495,49,4577.99,0.395396234499793,NA,2.88501316790169e-05,281538.3593,9.94508301745,-53.1291866028708,664448,29.6767676767677,0.174693232237617,0.336849809825164,2.87514e+12,-0.106395186235507,0.633,151.3
"Angola","AGO",0.593163847363204,50,5201.06,0.351633299733362,20215915.3820336,0.000432805563566875,21935466.51,-11.6476934611059,12.032634032634,495866,25.5517482517483,0.0119592509070902,0.0766957602687661,94635415870,-0.913848549127579,0.586,7.055
"Anguilla","GBR",0.60565073161199,20,0.18,4.37381304286492,1027645.07140082,4.56920699564615e-06,9801.549436,20.0086331244507,-289.704545454545,90164,28.1477272727273,0.0290804909512994,0.00656656247287405,2.82711e+12,1.33360914761821,0.929,NA
"Antigua and Barbuda","ATG",0.619783975974092,20,38.47,0.469573865092074,3405974.18693636,9.43098236539366e-06,81653.84955,18.7246634750878,-286.472727272727,111568,28.0454545454546,0.142248879387342,0.812616050793588,1727759259,0.403362847631797,0.788,NA
"Argentina","ARG",0.661597661514139,46,50137.52,0.187065387221259,117771267.71157,0.000302893334968843,20699948.52,-45.929008987258,52.2157287157287,1072053,9.73593073593074,0.0508248920129676,0.0715200331492551,4.49663e+11,0.00744603884716828,0.842,190.538
"Aruba","NLD",0.539322946860994,37,230.14,0.721385594007409,130912.020387182,2.84145001678186e-05,100005.1574,13.7366013602838,-164.272727272727,30015,28.2727272727273,0.00536071933443763,0.00168763386454518,9.0907e+11,1.69313832124074,0.941,10.169
"Australia","AUS",0.89560149399918,154,8403.61,0.375537337657628,28680029.9861016,0.000316624226174094,18740411.93,-25.9562726486819,-2.5280056387839,7764590,9.31319680563658,0.102190905493002,0.105597505924411,1.39268e+12,1.57533008853594,0.951,65.575
"Azores","PRT",0.814484080005495,6,2761.89,0.486411970439268,NA,0.000168998050309883,229447.626,38.3720004835022,-207.177132146204,960421,19.5051546391752,0.0194569070881292,0.0185387953199053,2.37686e+11,1.07238664229711,0.866,NA
"Bahamas","BHS",0.72751950157701,31,580.43,0.261665677826565,25475981.4840364,2.28326924244014e-05,304252.5912,25.0625238704467,-218.796238244514,619785,27.898119122257,0.136532826546553,0.0400279991616173,1.2827e+10,0.597684292743603,0.812,NA
"Bahrain","BHR",0.611165382404415,47,18,0.860681566238743,12558396.8208455,2.87575595391071e-06,1658242.468,26.333319519877,91.0576013693505,7516,27.1189780517439,0.0260083084879539,0.0241414151183626,38574069149,-0.225830383598804,0.875,0.269
"Bangladesh","BGD",0.444261048509062,78,5583.79,0.277416064093679,436197649.107472,2.29089876181743e-05,93894534.26,20.4622070132897,59.9272727272727,112166,28.9636363636364,0.0660791504450132,0.0469438328322557,3.02571e+11,-0.8134705722332,0.661,6.418
"Barbados","BRB",0.697287449342343,19,101.93,0.196355300644415,8203843.86801233,1.5274392414651e-05,269852.0827,11.9975761679718,-172.795454545455,185074,28.5568181818182,0.04301049625438,0.0642713665619428,5.209e+09,0.803243974844615,0.79,NA
"Belgium","BEL",0.643303679898118,13,116.89,0.215769369379433,9407487.51648305,0.000127401343108845,9488722.153,51.4645077301822,129.480414048147,3495,12.934248307401,0.454460429180245,0.828210797156591,5.29607e+11,1.18223300079505,0.937,NA
"Belize","BLZ",0.641462702049275,30,800,0.393158490631586,49964846.5796971,0.000397807213740636,411916.5355,17.1851045847977,-221.30303030303,34312,29.1212121212121,0.165598026843454,0.674750169078551,1879613600,-0.291489101015031,0.683,NA
"Benin","BEN",0.435733346270752,45,3510.06,1.33661770783873,20806033.9087491,1.12194675307873e-05,6775057.701,4.8396120223791,140.787878787879,35493,28.1212121212121,0.0169926397573606,0.0794195923564551,14390709095,-0.304775762061278,0.525,NA
"Bermuda","GBR",0.521532716708087,3,4.11,2.0554731908551,1458218.72577142,4.80493904523282e-06,52265.84196,32.3205314883902,-264.803719008264,464389,24.150826446281,0.0120916550236242,0.00276796922227542,2.82711e+12,1.33360914761821,0.929,NA
"Bonaire","NLD",0.708754297080403,35,7.3,0.30491833454941,NA,NA,20214.43019,12.7087393258008,-180.227272727273,13005,28.2272727272727,22.9489857982668,123.953166955971,9.0907e+11,1.69313832124074,0.941,10.169
"Bosnia and Herzegovina","BIH",0.421957056796413,29,0.12,0.0394899251839395,51382.2285469682,2.18134877811486e-06,820417.491,42.9165552733823,-175.909090909091,13,20.0909090909091,0,0,20047848435,-0.377651065587997,0.78,NA
"Brazil","BRA",0.467147173393826,74,83512.76,0.0997470061685594,138508610.014337,0.000509042061582583,106428425.5,-10.2137171294929,-231.482711473019,3677664,26.4490231526495,0.228583068863728,0.137463236017952,1.83976e+12,-0.237750053405762,0.754,133.297
"British Virgin Islands","GBR",0.62159261837056,18,0.66,0.231666878270166,444600.136818432,2.03498748234839e-06,29490.97651,20.378908881908,-222.077922077922,81555,28.1168831168831,0.00155806220847839,0.000351820498688669,2.82711e+12,1.33360914761821,0.929,NA
"Brunei","BRN",0.500672030911274,82,114.58,0.416825789170217,10891325.7501003,2.5198849651327e-05,448095.9246,6.05779663945618,-124.018181818182,43144,29.96,0.00564188166736418,0.00442500522930524,13469422941,0.620056827863057,0.829,NA
"Bulgaria","BGR",0.590590915233379,3,138.9,0.786773489571725,11165068.1803833,1.15310845371186e-05,1910376.709,42.9296383405898,-47.5272727272727,34745,16.7454545454545,0.273609959670512,0.970196408957896,67927179737,0.235062703490257,0.795,0.399
"Cambodia","KHM",0.584050188172829,77,9.16,1.28105339249915,244356761.200004,5.78737366488841e-05,4275491.013,10.2238168668117,-81.6818181818182,48697,30.4909090909091,0.0136865264353488,0.000133704965176586,27089389787,-0.771144521733125,0.593,NA
"Cameroon","CMR",0.48930389539349,48,4198.51,0.337800522841935,60210180.5547182,8.43824066795868e-05,5972721.495,3.46217895972584,264.636363636364,15143,29.2515151515152,0.0265188748694271,0.0281467024580828,38760467033,-1.05140368143717,0.576,NA
"Canada","CAN",0.804038607885692,19,4571.49,0.405784568817957,189626327.307166,7.71087095013872e-05,14366598.21,65.77807771078,300.937945283556,5765316,1.59968053709195,0.10850399664772,0.0369866218336657,1.73643e+12,1.58962604403496,0.936,42.484
"Canary Islands","ESP",0.476857449828462,33,247.92,0.430530742373784,NA,4.82154669211456e-05,2391593.98,28.3296471553695,-202.953436807095,445910,21.6829268292683,0.00619837082839254,0.0366849230006494,1.39412e+12,0.808154255151749,0.905,2033.469
"Cape Verde","CPV",0.520867926798118,13,313.2,0.773484397660176,4366164.56663636,4.45893487109314e-05,501958.0474,16.0519959305906,-67.876526458616,801936,25.0217096336499,0.0189873436071853,0.136425772190444,1981845741,0.506123326718807,0.662,NA
"Cayman Islands","GBR",0.736637937709756,18,134.88,0.258029204030422,329236.351681409,3.90665477631594e-05,68925.42685,19.1483070979341,-266.969696969697,118291,29.3939393939394,0.00315096955254358,0.000787742388135894,2.82711e+12,1.33360914761821,0.929,NA
"Chile","CHL",0.635088662382187,28,1819.7,0.679698735695,29273088.8491208,0.000512153441009657,17006403.92867,-38.2711309938403,-186.393455029819,3668775,17.9773588925104,0.022318491812611,0.0216029922484551,2.82318e+11,1.0058845281601,0.855,28.523
"China","CHN",0.540197337419797,112,29369.11,0.440807942642763,3934932737.96238,1.5195208980249e-05,429646466,20.0391166699735,-82.1616547497447,1302395,25.8770990806946,0.0648690838092797,0.114390589012541,1.43429e+13,-0.306858571867148,0.768,9.368
"Christmas Island","AUS",0.6,1,0.02,2.37165800661109,1375.29033406182,NA,6.006120386,-11.2348364618434,-199.93006993007,327994,28.6678321678322,1.63510344187889,0.914150051079265,1.39268e+12,1.57533008853594,0.951,65.575
"Cocos Islands","AUS",0.600583480460574,2,2.73,NA,44558.8833353818,1.50839344562182e-05,20.87778705,-12.0143039325998,-231.205128205128,467440,28.1724941724942,0.242467255375386,0.119514001763045,1.39268e+12,1.57533008853594,0.951,65.575
"Colombia","COL",0.605208630780748,75,561.67,0.731188012511031,44249956.5936375,4.40124401688778e-05,18483386.08,11.7897824923349,-110.826951674449,728836,28.462739093065,0.0825629942294626,0.0144567788539504,3.23803e+11,-0.181457390387853,0.752,32.137
"Comores","COM",0.627494668510937,13,149.47,0.57665017613294,3294851.53437702,7.44743624389307e-05,784579.4038,-11.4128885784632,-223.118881118881,164476,28.6083916083916,0.0083794112246767,0.00288042260848262,1185728677,-0.882416114211082,0.558,NA
"Cook Islands","NZL",0.684741992902348,7,2716.94,0.833445827506964,5323870.20294165,4.34550517205181e-05,12210.1774,-14.8316703083428,-311.248447204969,1969553,28.3026538678713,0.00296366037887829,0,2.06929e+11,1.81084122260412,0.937,153.664
"Costa Rica","CRI",0.823641780217884,67,24866.35,0.233650874998169,32493708.8318409,0.000434470613576964,4819317.834,4.97309413381731,-44.4747474747474,599063,27.8764646464647,0.142461330178299,0.141659719036096,61773944174,0.586524327596029,0.809,342.17
"Croatia","HRV",0.511768454659824,31,0.37,1.37345343412267,39473967.6389198,NA,1453121.54,44.4524901782766,-69.4166666666668,55502,18.75,0.00773822312532336,0.00288583358658676,60415553039,0.438588678836823,0.858,NA
"Cuba","CUB",0.689676166645024,27,1419.95,0.416070315878963,50157608.3287913,0.000583048071222265,11047639.42,21.5780508058911,-229.826704545455,352259,29.3039772727273,0.283301088188512,0.0201687238972864,NA,-0.462036994596322,0.764,1.156
"Curacao","NLD",0.679712601307126,36,18.93,0.67374976548113,NA,NA,170320.8771,13.157750950177,-184.641683433648,25401,28.2236757589577,NA,NA,9.0907e+11,1.69313832124074,0.941,10.169
"Cyprus","CYP",0.417304967983561,29,35.37,1.05298673286194,2222220.86265754,1.93933698587018e-05,1340556.495,34.4790654011419,-245.530303030303,98450,22.9242424242424,0.12324208242168,0.54320171734046,24564647935,0.818842589855194,0.896,NA
"Democratic Republic of the Congo","COD",0.504726397728498,43,1214.73,0.212614575352003,183581.676686364,0.0041003102095282,1459560.105,-6.40115369656563,190.18406007604,13373,27.3473916441964,0.0370936715522196,9.29083820969809e-05,47319624204,NA,0.479,NA
"Denmark","DNK",0.62104120017796,15,507.44,0.397560388857157,46812382.0403256,1.31632703971055e-05,5628350.049,56.1119235749401,129.006993006993,105021,11.2097902097902,0.150794716371715,0.751639353700517,3.48078e+11,1.68345325191816,0.948,NA
"Djibouti","DJI",0.638847136727877,41,177.21,0.282028061785241,659781.276630455,6.46024593738017e-05,1093061.385,11.9966416694659,23.0582572855364,7223,29.7975175571552,0.00381719121429182,0.0768209731876228,3318716359,-0.788405105471611,0.509,NA
"Dominica","DMA",0.640975315223865,20,1.49,0.112864635722076,NA,1.00922877340035e-06,67757.99907,15.4958245790917,-149.863636363636,28552,28.5454545454545,0.089361931777295,1.28649139632373,596033333.3,0.479059132436911,0.72,NA
"Dominican Republic","DOM",0.609258378164611,20,3462.54,0.0797538332346374,6481105.07640504,0.000942069498463752,11861631.19,17.0491830119551,-200.990449254166,363805,28.3459882668948,0.077377874840544,0.00126046133533569,88941298258,-0.24181281713148,0.767,0.603
"East Timor","TLS",0.879445350459013,58,108.46,2.34490250140366,1673343.17496487,8.85554140572855e-05,1367921.07566,-9.77892148623246,4.26003875099001,77473,29.8376623376623,0,0,1673540300,NA,0.607,NA
"Ecuador","ECU",0.608274955424724,44,13494.06,0.835159863207823,183943513.269793,8.24271959631058e-05,9578505.948,0.247957742835049,55.2103896103896,254956,25.4871266233766,0.118119015136974,0.0235989015890298,1.07436e+11,-0.398648520931602,0.74,206.926
"Egypt","EGY",0.538311282857411,67,1144.25,0.399034555906062,89659872.6235776,3.2897251469213e-05,40665377.76,30.311438018541,-171.704545454545,243342,23.7748917748918,0.0391155390371157,0.00572002206032888,3.03175e+11,-0.816694642106692,0.731,16.356
"El Salvador","SLV",0.689988512806132,41,1077.97,0.939263601072736,16862062.9007814,0.000274746142221294,6716295.539,11.8440268079935,-119.714285714286,95099,29.2727272727273,0.0923284567964589,0.00838036071078969,27022640000,-0.365807796518008,0.675,25.216
"Equatorial Guinea","GNQ",0.467113480274075,48,396.44,0.505761320292167,4094216.30742727,0.000110169163291517,915544.3989,-1.37037409203736,96.6293706293706,304133,27.3329448329448,0.00287466381460556,0.000141376908915028,11026774945,-1.29040433714787,0.596,NA
"Eritrea","ERI",0.633146991771211,42,78.88,0.586951723553011,4234476.37008327,4.19627041235199e-05,2490423.72,15.8122122003876,24.5324675324675,78355,29.4545454545454,0.105758376896229,0.020186528237905,NA,-1.60715094208717,0.492,NA
"Estonia","EST",0.6,1,NA,NA,18151549.0963633,NA,1149998.3,58.7533755451025,252.393939393939,36451,9.84848484848485,0.365595296533905,1.68160661800316,31386949981,1.21908786892891,0.89,NA
"Faeroe","DNK",0.378782603581093,14,287.22,0.483945017545681,41678223.18675,1.1877643866719e-05,41579.83296,62.8181136230638,57.6262022197563,274877,8.33072031151278,0.0212644975126084,0.0600188854697048,3.48078e+11,1.68345325191816,0.948,NA
"Falkland / Malvinas Islands","GBR",0.907811879687534,13,8156.03,0.380820730103349,7010001.66546909,6.06080746003427e-05,2176.086572,-51.5342969232879,69.9961038961038,550566,6.28441558441558,0.00613869743457153,0.00392145628801,2.82711e+12,1.33360914761821,0.929,NA
"Fiji","FJI",0.645080829416073,13,3194.47,0.49328012315236,14272856.0040627,5.25967694832246e-05,849494.5882,-17.8744454694923,-248.674037674038,1289978,27.6076986076986,0.0192459113045651,0.0361776125133252,5535548972,0.208593082924684,0.73,66.715
"Finland","FIN",0.6,1,NA,NA,16403812.6487976,NA,3932356.374,61.5793711791265,227.86013986014,81553,8.34755244755245,0.162214939258593,1.48782054007148,2.68761e+11,1.761128226916,0.94,NA
"France","FRA",0.652037380572978,78,16399.64,0.119253992752523,134716185.964462,0.000196822090056246,28097713.5421,44.1493390621967,-186.593396656602,1487654,24.6941052895425,0.0496769774128302,0.301348571378315,2.71552e+12,1.11651965727409,0.903,6.016
"French Guiana","FRA",0.452702150932361,37,502.19,0.536983478108854,161350.959980787,0.000452150746443128,293313.5166,6.68849681074277,-6.19090909090909,131554,28.8545454545455,0.0314907065749468,0.089119944299059,2.71552e+12,1.11651965727409,0.903,6.016
"French Polynesia","FRA",0.649587479798064,11,1691.76,0.678729419113163,6414661.83789183,0.000282640960309943,239166.8344,-18.4427094689419,-305.175624861756,4766689,26.6911523999115,0.0184457887369854,0.0395671445009342,2.71552e+12,1.11651965727409,0.903,6.016
"Gabon","GAB",0.494210554197725,47,2485.68,0.333716552925449,22282869.1770091,6.56983928808953e-05,1438857.032,-3.05882897342724,157.577540106952,201759,27.5989304812834,0.0140065775558181,0.0198474234703458,16657960228,-0.74151365707318,0.706,2.742
"Galapagos","ECU",0.584216998865863,19,4042.79,0.479220708550637,NA,6.70735659541504e-05,26789.55195,-0.0418914995666654,-54.3415584415584,841438,24.7272727272727,0.0380520659831607,0.067696911677121,1.07436e+11,-0.398648520931602,0.74,206.926
"Gambia","GMB",0.474882725560597,48,1795.59,0.605465114604351,19293806.5085014,0.000126383144691899,2102872.332,13.3285228355004,52.3333333333333,23097,25.9757575757576,0.00359121899353506,0.0116104866992392,1763819048,-0.395964979814986,0.5,14.974
"Georgia","GEO",0.503893812397894,2,12638.36,0.768296853805271,1854503.69982091,8.98948126534284e-05,1256479.369,42.4428151543356,-31.3333333333333,22944,18.5757575757576,0.0291114491726514,0.00388456136992377,17743195770,0.432257523139318,0.802,NA
"Germany","DEU",0.637079489590009,14,310.12,0.298874476224488,31363904.0770365,2.28870616891531e-05,10506721.81,54.5448029326179,203.30303030303,56763,11.5151515151515,0.0953780756269188,0.432866468504932,3.84563e+12,1.49552784363429,0.942,0.174
"Ghana","GHA",0.475997712612374,46,4198.39,0.620956430332358,466259849.065171,1.15644080936774e-05,14674722.86,3.5001424008338,58.4593301435407,227500,28.2153110047847,0.0404777027871845,0.141484407288087,66983634224,0.0458791516721249,0.632,55.439
"Gilbert Islands","KIR",0.555383590428446,7,469.98,0.651724081975386,NA,6.66236956640886e-05,36643.45022,-0.259389943196499,-180.672727272727,1053245,29.884064171123,0.00437424256882195,0.0104850235503348,194647201.9,0.327124789357185,0.624,0.73
"Glorioso Islands","MDG",0.611338574656322,20,32.07,0.480268944116165,NA,0.000260813920336168,0,-11.6167208609472,-210.704545454545,43506,28.5681818181818,105.988024575293,642.940481735611,14083906357,-0.754959806799889,0.501,21.757
"Greece","GRC",0.509561243812083,36,648.12,0.571591768378237,100266227.023998,4.39584649119969e-05,10156330.25,36.4424950851173,-202.300826446281,482910,20.9818181818182,0.0448862906359853,0.141825400002051,2.09853e+11,0.278355372448762,0.887,NA
"Greenland","DNK",0.599703114129613,3,226.93,0.660989488621776,33768903.5398873,1.61947063793045e-05,31055.79226,68.5246409779302,263.131553631554,2268623,1.58749306992279,0.166607733172821,0.465149792370604,3.48078e+11,1.68345325191816,0.948,NA
"Grenada","GRD",0.683647775870369,36,17.69,0.221848995519861,2791529.27517465,1.34321539780782e-05,93194.1412,12.2427708938465,-63.1363636363636,25571,28.5,0.0950136896233011,0.598836280652121,1228170370,0.278829708695412,0.795,NA
"Guam","USA",0.6,4,0.85,0.704542527623119,2695955.05439967,1.50689653603809e-06,157749.7469,12.9228940353804,-352.818181818182,208234,29.2626262626263,2.45039184194137,0.537262288969345,2.14277e+13,1.24137473106384,0.921,253.303
"Guatemala","GTM",0.695841585583383,63,841.59,0.18302493888096,10368450.0742201,0.000100262901159483,11808516.07,12.5463822901119,-127.272727272727,110695,30.010101010101,0.227111537919998,0.0716047186431271,76710385880,-0.605831861495972,0.627,37.464
"Guernsey","GBR",0.713855127653647,18,838.82,0.190121079391882,2239399.78487182,0.000160573553212812,55050.77712,49.6382953884919,53.5,6531,13.0454545454545,0.0125856848081199,0.0087111661378516,2.82711e+12,1.33360914761821,0.929,NA
"Guinea","GIN",0.463656901847313,46,5803.22,0.301032532237381,24337878.7464818,0.00013820736315859,4427392.934,9.17899433159049,131.688311688312,102163,28.4181818181818,0.00899827037675679,0.0297920100362162,13590281809,-0.938748071591059,0.465,34.538
"Guinea-Bissau","GNB",0.42413778700503,46,15996.45,0.57428392985259,113867596.338005,7.22381942203855e-05,1701899.284,10.5774743291069,91.050505050505,106870,27.9,0.00137178639991089,0.00508409495637076,1340389411,-1.13172936439514,0.483,NA
"Guyana","GUY",0.566854622947132,39,883.5,0.684441492088021,14569574.2738806,0.000300863333739082,670200.0264,9.58718793859473,-97.7747389306624,138672,28.81876411765,0.355402942195584,0.450024842704208,4280443645,-0.210972068210443,0.714,19.089
"Haiti","HTI",0.607023299872036,20,140.79,0.262025348658672,0,3.92021784250256e-05,14359693.95,17.8957156489024,-190.001456087632,117375,28.9012879092112,0.15655733155914,0.026764778742789,8498981821,-1.13313829898834,0.535,NA
"Hawaii","USA",0.650833741878694,11,128.85,0.935392227732565,NA,6.73370554703996e-05,1494079.908,23.8895169741907,-287.290909090909,2474715,25.5838842975207,17.3868676018468,2.50641813343047,2.14277e+13,1.24137473106384,0.921,253.303
"Honduras","HND",0.610029227284571,58,25.16,0.153420850891336,195668691.642902,3.34354936542907e-07,6923100.416,17.8024166429725,-208.235227290124,210711,28.9840909091128,0.197157837854827,0.0622239930970112,25095395475,-0.631383776664734,0.621,NA
"Howland and Baker islands","USA",0.685967685918726,3,0.35,1.29442598299917,NA,6.84478050655338e-05,0,0.79034354414918,-164.779220779221,434894,29.0701298701299,0.103719433731346,0.0305924199839846,2.14277e+13,1.24137473106384,0.921,253.303
"Iceland","ISL",0.409480316693731,8,1410.63,0.313020567710606,68888392.1308567,2.21982815720423e-05,341885.0802,66.8100920186208,83.5170454545455,763239,5.93455387205387,0.0394758137060618,0.145906879945696,24188035739,1.54531826575597,0.959,0.997
