"","NEW_FID","RLI_1970","RLI_1980","RLI_2005","RLI_2020"
"1","18",0.968336631449259,0.944055425410727,0.802681142212897,0.802681142212897
"2","61",0.95101523085534,0.917044982139082,0.810204382655668,0.765029088292936
"3","67",0.997313457540075,0.986551868695482,0.979023303676189,0.978907057874217
"4","37",0.914273673581947,0.773679148543822,0.665413655525897,0.605579842602818
"5","27",0.958656937361049,0.885539806754872,0.834547566125668,0.82034480623378
"6","31",0.982178736407975,0.937142856161701,0.890377319173647,0.873796235068466
"7","34",0.973564544142716,0.89685002820437,0.737335572316533,0.636592465305228
"8","51",0.979943495435641,0.916112813118235,0.82770828146746,0.798424830538903
"9","57",0.975708455039694,0.930488769385046,0.858058278270013,0.84623632091961
"10","71",0.952349888383923,0.896356642771998,0.800466957481758,0.778923722127611
"11","87",0.977757315208132,0.910767350003635,0.777314057997558,0.763655255082729
"12","41",0.955970114152903,0.853728745914106,0.688892353244057,0.670785694157479
"13","81",0.993972109519627,0.976600310369791,0.936133104941458,0.936850534139894
"14","58",0.995486156827754,0.993870002258723,0.957812090465207,0.921754315994145
"15","48",0.995689424403483,0.991811171968823,0.991811171968823,0.991811171968823
"16","88",0.999292101656711,0.998584203313422,0.998584203313422,0.998584203313422
"17","77",0.982883791614212,0.939185888192403,0.838553900590559,0.82402967311383
"18","47",0.992576846617505,0.965537264531701,0.890129687734275,0.874441806322611
"19","21",0.902689063817378,0.814585988687274,0.790457130436778,0.848552692339843
