"","NEW_FID","RLI_1970","RLI_1980","RLI_2005","RLI_2020"
"1","23",0.825991301954142,0.656002240637914,0.618251411634219,0.595271070305958
"2","52",0.998206925776095,0.993701793672085,0.960879357580681,0.938899839888101
"3","22",0.902445368416098,0.751909610561603,0.688141052126762,0.660531289528961
"4","2",0.997998497809947,0.9828827773543,0.976700179476591,0.976672297975261
"5","9",0.865532817022352,0.705062859115431,0.670288729849065,0.768419356292904
"6","24",0.950198099763087,0.832027610829707,0.769794610170487,0.746165785100607
"7","50",0.951407914749075,0.924379769083935,0.80491250062929,0.751689925666441
"8","51",0.998549575151742,0.995911844853706,0.954729019225488,0.949086296347725
"9","8",0.791628762430574,0.67183862954641,0.675859411867196,0.826720010217028
"10","3",0.99546307814238,0.980194214838285,0.951047439917319,0.946418782226417
"11","62",0.999833874008891,0.851136598051344,0.739873533234947,0.690859697570962
"12","7",0.917795926615292,0.843162347631884,0.815073304907366,0.858277224285371
"13","26",0.913500518865998,0.773069997590223,0.664744428317598,0.604737537105699
"14","25",0.983729408245045,0.914390071255092,0.859919397345323,0.840574224407289
"15","49",0.97987133059359,0.961434505065792,0.887845513945244,0.862415376909676
"16","48",0.925424408210289,0.887319211673477,0.676564665923028,0.576200322388231
"17","27",0.974475396784763,0.875299185318348,0.711504990230571,0.632016780956296
"18","47",0.936449231630398,0.898044507293824,0.756389584006517,0.696941144249988
"19","6",0.990536529582249,0.9691334634636,0.948122204772944,0.936322128153266
"20","4",0.984451011688965,0.955501661363254,0.857774496649905,0.852234917356359
"21","5",0.982658057475726,0.944341441715965,0.899172406476525,0.878466271323394
"22","32",0.958126717176659,0.853838582522066,0.741060362917198,0.705893383200232
"23","33",0.98291689386036,0.785360616512394,0.649576348252456,0.592999972874698
"24","10",0.997157601406867,0.976246612622426,0.933517014328136,0.924298102419449
"25","12",0.985597061088046,0.940492203325438,0.897272958070614,0.884333874921761
"26","36",0.903779037571579,0.815789355750727,0.670577704146662,0.629651449810781
"27","34",0.922794376942893,0.809997872140016,0.63165409164014,0.598533238073318
"28","11",0.977672909331039,0.906138195314846,0.748686951766943,0.728086012978444
"29","37",0.940939928431401,0.846248140864978,0.716778618825254,0.701272532103738
"30","35",0.875103209878465,0.757974359388043,0.573118684705542,0.537660867039014
"31","17",0.914941758027029,0.769449873093964,0.613499194644791,0.582085735894063
"32","28",0.970498783968523,0.904701627041512,0.729021311590466,0.600175351201216
"33","31",0.996633504135716,0.981924741649186,0.937960239141669,0.910465908629757
"34","38",0.913001680411423,0.821845829888455,0.678427035216337,0.642916099229519
"35","16",0.954026865708029,0.856738622222286,0.763125902993742,0.740654184675721
"36","13",0.97206469057109,0.896592132966198,0.729149221080797,0.724065898707018
"37","29",0.991723802913044,0.969970526511728,0.919571001445888,0.902876139530245
"38","39",0.970135241697898,0.936966916003455,0.862754083265752,0.85133603550771
"39","40",0.992875597058367,0.976196644492024,0.945336001660914,0.938863472303372
"40","30",0.995455930294016,0.963788318542842,0.866950189649721,0.846005413886485
"41","45",0.991000848022008,0.982027275002284,0.958264446921652,0.954175161606131
"42","41",0.996782686806626,0.970142802189438,0.88416133523931,0.878688071728157
"43","15",0.960089343634374,0.85248137684543,0.641498845096983,0.627866827336498
"44","46",0.990956415292517,0.980663072270891,0.951142989851934,0.957060574304608
"45","14",0.970671103698046,0.883756226657473,0.737348051302287,0.722495615039616
"46","42",0.996665337803374,0.931913342705867,0.841776350002325,0.833672285811065
"47","61",1,1,1,1
"48","43",0.996934767946076,0.978183351726826,0.940308211473507,0.93948540434316
"49","44",0.996578639995454,0.992095773264885,0.975189446025313,0.9737980971239
"50","60",0.960560669347003,0.896566507014089,0.850687711998036,0.838759014960961
"51","59",0.96397777825098,0.917784738635814,0.863057525167389,0.858136355368943
"52","19",0.96982047431761,0.939929561981797,0.892799087484761,0.892799084039865
"53","21",0.895501838842098,0.789262541081297,0.726458071820749,0.714546779387774
"54","20",0.943248332739117,0.889099108301141,0.805629599857709,0.805264806607467
"55","58",1,1,1,1
"56","53",0.999998743356924,0.999998743356924,0.994872789173519,0.988448811550548
"57","65",0.999864769956721,0.999864769956721,0.99822348410196,0.99822348410196
"58","1",0.99991332349289,0.999814447881362,0.991006167975275,0.991006167975275
"59","18",0.953522188126157,0.931858501004402,0.894433579856248,0.89461504371783
"60","63",0.998272588611509,0.926270564036404,0.848557614537008,0.848557614537008
"61","55",1,1,0.8,0.8
"62","66",0.601849398240874,0.601843487746716,0.601837577252559,0.601837577252559
"63","64",0.748889137477283,0.748889137477283,0.675870704091204,0.675870704091204
"64","54",1,1,0.886763560283145,0.886763560283145
