"","NEW_FID","RLI_1970","RLI_1980","RLI_2005","RLI_2020"
"1","8444",0.963013789878114,0.802100126521469,0.699833658266099,0.614294048468162
"2","8379",0.97621903176105,0.949385665156407,0.834890963922872,0.702955261764013
"3","8446",0.969158918760819,0.861102998103726,0.778502843128165,0.721058653212477
"4","8389",0.99763682670432,0.980555589786034,0.871606694593942,0.861637246604645
"5","8440",0.967612299008362,0.848443271953181,0.734978219723131,0.671277570404506
"6","8439",0.94739115459851,0.816133916008168,0.717467594430124,0.635822367475158
"7","8380",0.976554261575348,0.949737727904165,0.86404900414959,0.763770851783728
"8","8445",0.973331102589316,0.821902951197497,0.697412990247794,0.614691846702581
"9","8448",0.944257399047892,0.865555183682567,0.731841553860904,0.668020730708528
"10","8382",0.820839687001778,0.713207610427697,0.65221147954682,0.63505667310964
"11","8465",0.988017010316188,0.907247267878758,0.753661011980622,0.75140217513258
"12","8447",0.950772968990477,0.816648774885368,0.712461959316882,0.614802295516804
"13","48961",0.940323517456084,0.773227069625226,0.543382991495557,0.526949095323433
"14","48962",0.977850250841907,0.91348862115268,0.785991371637876,0.775066015447502
"15","8467",0.946055528250395,0.799565019578395,0.585531668154135,0.571038297478211
"16","8449",0.960318373983926,0.818050560425857,0.704071046421709,0.621193116055073
"17","8432",0.953607754850924,0.886707744365033,0.70483356642367,0.695175546147293
"18","22756",0.998488452806664,0.994401942261635,0.991326388306268,0.990510002363643
"19","21787",0.959301047365608,0.80711249570615,0.711994709598816,0.686708052682871
"20","8381",0.935934690902269,0.864037957215701,0.744815891385218,0.636890674088649
"21","8450",0.965458856306719,0.854456373707175,0.691264544440094,0.619114019313291
"22","8466",0.972126915559801,0.889010061837401,0.748289106549151,0.732815340267025
"23","8386",0.829586537578972,0.775524570815961,0.76563918805021,0.745409111255834
"24","8309",0.991903769615131,0.925599060620104,0.72757334390298,0.527577601459012
"25","8308",0.99100641966895,0.899452111142855,0.690634267069605,0.582156836925583
"26","8334",0.999769998869702,0.997811865632728,0.9872970354586,0.985351815956161
"27","8385",0.914521442376546,0.880476292898109,0.879096626991183,0.879096626991183
"28","48944",0.994803073040972,0.962938572556695,0.824459891412634,0.797187181942924
"29","48946",0.962789198186597,0.800765520954767,0.665454811305557,0.531990885474189
"30","8388",0.997632118216074,0.997321903173399,0.90484215973945,0.812362416305501
"31","8387",0.996486115004248,0.996080496594005,0.957115769303798,0.918151042013592
"32","8348",0.993716572049843,0.957470002820136,0.826062182567461,0.776671278159133
"33","8396",0.996165130069629,0.967772094338483,0.884413858605589,0.871233298243551
"34","8312",0.998573290474123,0.994976872423202,0.99030695982538,0.988944246686164
"35","8310",0.997751788094638,0.987862289633138,0.985347904286755,0.984920526796276
"36","8343",0.992154131422552,0.975050128243165,0.957340686442481,0.946318386009209
"37","8338",0.974310652935536,0.857980254366375,0.708309094361514,0.619050771218953
"38","8313",0.999519911234221,0.935754578314931,0.924761772646621,0.920387484644258
"39","8395",0.990767175311561,0.970976721046883,0.920369700800025,0.912316996130138
"40","21791",0.884221630919124,0.789069198746728,0.575197709339103,0.52613839942
"41","8394",0.978425090770964,0.923339236149681,0.742894459065599,0.615001259721293
"42","8478",0.982650492881955,0.943871628544183,0.832777398730039,0.753939838549715
"43","8347",0.994149989175974,0.96505016692639,0.892658407660583,0.876176590766842
"44","8349",0.998156233830335,0.989570292167104,0.947394205650542,0.931508797340641
"45","21798",0.981812380694739,0.966654246103396,0.8203931747019,0.81214936928799
"46","8384",0.999369269639682,0.999003541241455,0.998974658972278,0.998974658972278
